pgeom	statmean	pval	qval	setsize	exp1
GO0110165 cellular anatomical entity	0.524913079941612	0.0625228772724316	0.524913079941612	0.984385425973386	229	0.524913079941612
GO0005622 intracellular anatomical structure	0.526105205483197	0.0655237677501726	0.526105205483197	0.984385425973386	203	0.526105205483197
GO0031967 organelle envelope	0.537526193647728	0.0947748810085803	0.537526193647728	0.984385425973386	24	0.537526193647728
GO0031975 envelope	0.537526193647728	0.0947748810085803	0.537526193647728	0.984385425973386	24	0.537526193647728
GO0005856 cytoskeleton	0.54361753336816	0.109961596627994	0.54361753336816	0.984385425973386	35	0.54361753336816
GO0005740 mitochondrial envelope	0.559037895180699	0.149689827907675	0.559037895180699	0.984385425973386	19	0.559037895180699
GO0031966 mitochondrial membrane	0.559037895180699	0.149689827907675	0.559037895180699	0.984385425973386	19	0.559037895180699
GO0005829 cytosol	0.562036636058543	0.156385314033737	0.562036636058543	0.984385425973386	91	0.562036636058543
GO0005739 mitochondrion	0.570273835755436	0.177890806387144	0.570273835755436	0.984385425973386	32	0.570273835755436
GO0005730 nucleolus	0.571949794253181	0.183917186884153	0.571949794253181	0.984385425973386	11	0.571949794253181
GO0005794 Golgi apparatus	0.588654030361922	0.225271322314253	0.588654030361922	0.984385425973386	26	0.588654030361922
GO0043229 intracellular organelle	0.60423780924554	0.264532286445601	0.60423780924554	0.984385425973386	178	0.60423780924554
GO0099513 polymeric cytoskeletal fiber	0.618496454526525	0.306449028213032	0.618496454526525	0.984385425973386	10	0.618496454526525
GO0012505 endomembrane system	0.624253080029157	0.317311633205842	0.624253080029157	0.984385425973386	69	0.624253080029157
GO0000785 chromatin	0.635627752595575	0.350599467969656	0.635627752595575	0.984385425973386	14	0.635627752595575
GO0005783 endoplasmic reticulum	0.651061618828652	0.390124279581562	0.651061618828652	0.984385425973386	30	0.651061618828652
GO0015629 actin cytoskeleton	0.659964805284443	0.419465461457467	0.659964805284443	0.984385425973386	10	0.659964805284443
GO1990234 transferase complex	0.668503912779505	0.441360327026083	0.668503912779505	0.984385425973386	13	0.668503912779505
GO0043226 organelle	0.673844605265629	0.45090741696859	0.673844605265629	0.984385425973386	193	0.673844605265629
GO0099081 supramolecular polymer	0.689244498854138	0.500268847020181	0.689244498854138	0.984385425973386	13	0.689244498854138
GO0099512 supramolecular fiber	0.689244498854138	0.500268847020181	0.689244498854138	0.984385425973386	13	0.689244498854138
GO0015630 microtubule cytoskeleton	0.691499643865947	0.503394186194241	0.691499643865947	0.984385425973386	25	0.691499643865947
GO0043231 intracellular membrane-bounded organelle	0.736579478162116	0.633506707762774	0.736579478162116	0.984385425973386	167	0.736579478162116
GO0031982 vesicle	0.753584924298528	0.688301878519556	0.753584924298528	0.984385425973386	53	0.753584924298528
GO0031984 organelle subcompartment	0.765242454847353	0.731299851002757	0.765242454847353	0.984385425973386	19	0.765242454847353
GO0016604 nuclear body	0.774879242228176	0.769374892498213	0.774879242228176	0.984385425973386	15	0.774879242228176
GO0140535 intracellular protein-containing complex	0.776012175103425	0.768939922307546	0.776012175103425	0.984385425973386	16	0.776012175103425
GO1902494 catalytic complex	0.778433706064408	0.773123344981681	0.778433706064408	0.984385425973386	26	0.778433706064408
GO1990904 ribonucleoprotein complex	0.822289218670077	0.952504449618899	0.822289218670077	0.984385425973386	13	0.822289218670077
GO0043227 membrane-bounded organelle	0.82681250908664	0.942872560278277	0.82681250908664	0.984385425973386	182	0.82681250908664
GO0032993 protein-DNA complex	0.831214375148884	0.97408561821434	0.831214375148884	0.984385425973386	17	0.831214375148884
GO0043228 non-membrane-bounded organelle	0.83464702846772	0.975902772386318	0.83464702846772	0.984385425973386	75	0.83464702846772
GO0043232 intracellular non-membrane-bounded organelle	0.83464702846772	0.975902772386318	0.83464702846772	0.984385425973386	75	0.83464702846772
GO0005813 centrosome	0.835793441358925	1.00215447453224	0.835793441358925	0.984385425973386	11	0.835793441358925
GO0005789 endoplasmic reticulum membrane	0.85576074810402	1.08423136520444	0.85576074810402	0.984385425973386	14	0.85576074810402
GO0042175 nuclear outer membrane-endoplasmic reticulum membrane network	0.85576074810402	1.08423136520444	0.85576074810402	0.984385425973386	14	0.85576074810402
GO0098827 endoplasmic reticulum subcompartment	0.85576074810402	1.08423136520444	0.85576074810402	0.984385425973386	14	0.85576074810402
GO0099080 supramolecular complex	0.862552464058794	1.10703117008276	0.862552464058794	0.984385425973386	21	0.862552464058794
GO0005815 microtubule organizing center	0.862682634821731	1.11527469041505	0.862682634821731	0.984385425973386	15	0.862682634821731
GO0140513 nuclear protein-containing complex	0.924791336855247	1.46371217650995	0.924791336855247	0.984385425973386	25	0.924791336855247
GO0005694 chromosome	0.936480872500209	1.55287076881355	0.936480872500209	0.984385425973386	25	0.936480872500209
GO0005634 nucleus	0.949423362488927	1.64692334734161	0.949423362488927	0.984385425973386	102	0.949423362488927
GO0032991 protein-containing complex	0.951634425490427	1.66974346990363	0.951634425490427	0.984385425973386	90	0.951634425490427
GO0031981 nuclear lumen	0.962651501357584	1.79675834697304	0.962651501357584	0.984385425973386	67	0.962651501357584
GO0005654 nucleoplasm	0.974482371628104	1.97101607345434	0.974482371628104	0.984385425973386	62	0.974482371628104
GO0005615 extracellular space	0.975495226387157	1.99689655783791	0.975495226387157	0.984385425973386	44	0.975495226387157
GO0043230 extracellular organelle	0.977822858536476	2.05720336861678	0.977822858536476	0.984385425973386	29	0.977822858536476
GO0065010 extracellular membrane-bounded organelle	0.977822858536476	2.05720336861678	0.977822858536476	0.984385425973386	29	0.977822858536476
GO0070062 extracellular exosome	0.977822858536476	2.05720336861678	0.977822858536476	0.984385425973386	29	0.977822858536476
GO1903561 extracellular vesicle	0.977822858536476	2.05720336861678	0.977822858536476	0.984385425973386	29	0.977822858536476
GO0005576 extracellular region	0.978897800741798	2.056840762596	0.978897800741798	0.984385425973386	53	0.978897800741798
GO0031974 membrane-enclosed lumen	0.984385425973386	2.17397931084279	0.984385425973386	0.984385425973386	80	0.984385425973386
GO0043233 organelle lumen	0.984385425973386	2.17397931084279	0.984385425973386	0.984385425973386	80	0.984385425973386
GO0070013 intracellular organelle lumen	0.984385425973386	2.17397931084279	0.984385425973386	0.984385425973386	80	0.984385425973386
GO0000015 phosphopyruvate hydratase complex	NA	NA	NA	NA	0	NA
GO0000109 nucleotide-excision repair complex	NA	NA	NA	NA	0	NA
GO0000110 nucleotide-excision repair factor 1 complex	NA	NA	NA	NA	0	NA
GO0000111 nucleotide-excision repair factor 2 complex	NA	NA	NA	NA	0	NA
GO0000112 nucleotide-excision repair factor 3 complex	NA	NA	NA	NA	0	NA
GO0000118 histone deacetylase complex	NA	NA	NA	NA	0	NA
GO0000120 RNA polymerase I transcription regulator complex	NA	NA	NA	NA	0	NA
GO0000123 histone acetyltransferase complex	NA	NA	NA	NA	1	NA
GO0000124 SAGA complex	NA	NA	NA	NA	0	NA
GO0000126 transcription factor TFIIIB complex	NA	NA	NA	NA	0	NA
GO0000127 transcription factor TFIIIC complex	NA	NA	NA	NA	0	NA
GO0000137 Golgi cis cisterna	NA	NA	NA	NA	0	NA
GO0000138 Golgi trans cisterna	NA	NA	NA	NA	0	NA
GO0000145 exocyst	NA	NA	NA	NA	1	NA
GO0000151 ubiquitin ligase complex	NA	NA	NA	NA	8	NA
GO0000152 nuclear ubiquitin ligase complex	NA	NA	NA	NA	2	NA
GO0000153 cytoplasmic ubiquitin ligase complex	NA	NA	NA	NA	1	NA
GO0000159 protein phosphatase type 2A complex	NA	NA	NA	NA	0	NA
GO0000164 protein phosphatase type 1 complex	NA	NA	NA	NA	0	NA
GO0000172 ribonuclease MRP complex	NA	NA	NA	NA	0	NA
GO0000176 nuclear exosome (RNase complex)	NA	NA	NA	NA	0	NA
GO0000177 cytoplasmic exosome (RNase complex)	NA	NA	NA	NA	0	NA
GO0000178 exosome (RNase complex)	NA	NA	NA	NA	0	NA
GO0000214 tRNA-intron endonuclease complex	NA	NA	NA	NA	0	NA
GO0000220 vacuolar proton-transporting V-type ATPase, V0 domain	NA	NA	NA	NA	0	NA
GO0000221 vacuolar proton-transporting V-type ATPase, V1 domain	NA	NA	NA	NA	1	NA
GO0000228 nuclear chromosome	NA	NA	NA	NA	6	NA
GO0000235 astral microtubule	NA	NA	NA	NA	0	NA
GO0000242 pericentriolar material	NA	NA	NA	NA	1	NA
GO0000243 commitment complex	NA	NA	NA	NA	1	NA
GO0000274 mitochondrial proton-transporting ATP synthase, stator stalk	NA	NA	NA	NA	0	NA
GO0000275 mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	NA	NA	NA	NA	0	NA
GO0000276 mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	NA	NA	NA	NA	0	NA
GO0000307 cyclin-dependent protein kinase holoenzyme complex	NA	NA	NA	NA	0	NA
GO0000308 cytoplasmic cyclin-dependent protein kinase holoenzyme complex	NA	NA	NA	NA	0	NA
GO0000313 organellar ribosome	NA	NA	NA	NA	1	NA
GO0000314 organellar small ribosomal subunit	NA	NA	NA	NA	0	NA
GO0000315 organellar large ribosomal subunit	NA	NA	NA	NA	1	NA
GO0000322 storage vacuole	NA	NA	NA	NA	0	NA
GO0000333 telomerase catalytic core complex	NA	NA	NA	NA	0	NA
GO0000346 transcription export complex	NA	NA	NA	NA	0	NA
GO0000347 THO complex	NA	NA	NA	NA	0	NA
GO0000407 phagophore assembly site	NA	NA	NA	NA	0	NA
GO0000408 EKC/KEOPS complex	NA	NA	NA	NA	0	NA
GO0000417 HIR complex	NA	NA	NA	NA	1	NA
GO0000421 autophagosome membrane	NA	NA	NA	NA	1	NA
GO0000428 DNA-directed RNA polymerase complex	NA	NA	NA	NA	2	NA
GO0000438 core TFIIH complex portion of holo TFIIH complex	NA	NA	NA	NA	0	NA
GO0000439 transcription factor TFIIH core complex	NA	NA	NA	NA	0	NA
GO0000444 MIS12/MIND type complex	NA	NA	NA	NA	0	NA
GO0000445 THO complex part of transcription export complex	NA	NA	NA	NA	0	NA
GO0000502 proteasome complex	NA	NA	NA	NA	0	NA
GO0000506 glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	NA	NA	NA	NA	0	NA
GO0000775 chromosome, centromeric region	NA	NA	NA	NA	2	NA
GO0000776 kinetochore	NA	NA	NA	NA	2	NA
GO0000779 condensed chromosome, centromeric region	NA	NA	NA	NA	2	NA
GO0000781 chromosome, telomeric region	NA	NA	NA	NA	6	NA
GO0000782 telomere cap complex	NA	NA	NA	NA	1	NA
GO0000783 nuclear telomere cap complex	NA	NA	NA	NA	1	NA
GO0000786 nucleosome	NA	NA	NA	NA	0	NA
GO0000791 euchromatin	NA	NA	NA	NA	1	NA
GO0000792 heterochromatin	NA	NA	NA	NA	1	NA
GO0000793 condensed chromosome	NA	NA	NA	NA	6	NA
GO0000794 condensed nuclear chromosome	NA	NA	NA	NA	3	NA
GO0000795 synaptonemal complex	NA	NA	NA	NA	1	NA
GO0000796 condensin complex	NA	NA	NA	NA	1	NA
GO0000800 lateral element	NA	NA	NA	NA	1	NA
GO0000801 central element	NA	NA	NA	NA	0	NA
GO0000802 transverse filament	NA	NA	NA	NA	0	NA
GO0000803 sex chromosome	NA	NA	NA	NA	1	NA
GO0000805 X chromosome	NA	NA	NA	NA	0	NA
GO0000806 Y chromosome	NA	NA	NA	NA	0	NA
GO0000808 origin recognition complex	NA	NA	NA	NA	0	NA
GO0000811 GINS complex	NA	NA	NA	NA	0	NA
GO0000812 Swr1 complex	NA	NA	NA	NA	0	NA
GO0000813 ESCRT I complex	NA	NA	NA	NA	0	NA
GO0000814 ESCRT II complex	NA	NA	NA	NA	0	NA
GO0000815 ESCRT III complex	NA	NA	NA	NA	0	NA
GO0000835 ER ubiquitin ligase complex	NA	NA	NA	NA	1	NA
GO0000836 Hrd1p ubiquitin ligase complex	NA	NA	NA	NA	1	NA
GO0000839 Hrd1p ubiquitin ligase ERAD-L complex	NA	NA	NA	NA	1	NA
GO0000922 spindle pole	NA	NA	NA	NA	2	NA
GO0000923 equatorial microtubule organizing center	NA	NA	NA	NA	1	NA
GO0000930 gamma-tubulin complex	NA	NA	NA	NA	1	NA
GO0000931 gamma-tubulin ring complex	NA	NA	NA	NA	1	NA
GO0000932 P-body	NA	NA	NA	NA	5	NA
GO0000938 GARP complex	NA	NA	NA	NA	0	NA
GO0000939 inner kinetochore	NA	NA	NA	NA	1	NA
GO0000940 outer kinetochore	NA	NA	NA	NA	0	NA
GO0000974 Prp19 complex	NA	NA	NA	NA	0	NA
GO0001401 SAM complex	NA	NA	NA	NA	1	NA
GO0001405 PAM complex, Tim23 associated import motor	NA	NA	NA	NA	0	NA
GO0001518 voltage-gated sodium channel complex	NA	NA	NA	NA	0	NA
GO0001520 outer dense fiber	NA	NA	NA	NA	0	NA
GO0001527 microfibril	NA	NA	NA	NA	0	NA
GO0001533 cornified envelope	NA	NA	NA	NA	0	NA
GO0001534 radial spoke	NA	NA	NA	NA	0	NA
GO0001535 radial spoke head	NA	NA	NA	NA	0	NA
GO0001536 radial spoke stalk	NA	NA	NA	NA	0	NA
GO0001650 fibrillar center	NA	NA	NA	NA	3	NA
GO0001651 dense fibrillar component	NA	NA	NA	NA	0	NA
GO0001652 granular component	NA	NA	NA	NA	0	NA
GO0001669 acrosomal vesicle	NA	NA	NA	NA	1	NA
GO0001673 male germ cell nucleus	NA	NA	NA	NA	1	NA
GO0001674 female germ cell nucleus	NA	NA	NA	NA	0	NA
GO0001725 stress fiber	NA	NA	NA	NA	2	NA
GO0001726 ruffle	NA	NA	NA	NA	3	NA
GO0001739 sex chromatin	NA	NA	NA	NA	0	NA
GO0001740 Barr body	NA	NA	NA	NA	0	NA
GO0001741 XY body	NA	NA	NA	NA	1	NA
GO0001750 photoreceptor outer segment	NA	NA	NA	NA	0	NA
GO0001772 immunological synapse	NA	NA	NA	NA	1	NA
GO0001891 phagocytic cup	NA	NA	NA	NA	1	NA
GO0001917 photoreceptor inner segment	NA	NA	NA	NA	1	NA
GO0001931 uropod	NA	NA	NA	NA	1	NA
GO0001939 female pronucleus	NA	NA	NA	NA	0	NA
GO0001940 male pronucleus	NA	NA	NA	NA	0	NA
GO0002079 inner acrosomal membrane	NA	NA	NA	NA	0	NA
GO0002080 acrosomal membrane	NA	NA	NA	NA	0	NA
GO0002081 outer acrosomal membrane	NA	NA	NA	NA	0	NA
GO0002095 caveolar macromolecular signaling complex	NA	NA	NA	NA	0	NA
GO0002096 polkadots	NA	NA	NA	NA	0	NA
GO0002102 podosome	NA	NA	NA	NA	0	NA
GO0002116 semaphorin receptor complex	NA	NA	NA	NA	0	NA
GO0002133 polycystin complex	NA	NA	NA	NA	0	NA
GO0002139 stereocilia coupling link	NA	NA	NA	NA	0	NA
GO0002140 stereocilia tip link	NA	NA	NA	NA	0	NA
GO0002141 stereocilia ankle link	NA	NA	NA	NA	0	NA
GO0002142 stereocilia ankle link complex	NA	NA	NA	NA	0	NA
GO0002144 cytosolic tRNA wobble base thiouridylase complex	NA	NA	NA	NA	0	NA
GO0002169 3-methylcrotonyl-CoA carboxylase complex, mitochondrial	NA	NA	NA	NA	0	NA
GO0002177 manchette	NA	NA	NA	NA	0	NA
GO0002178 palmitoyltransferase complex	NA	NA	NA	NA	0	NA
GO0002189 ribose phosphate diphosphokinase complex	NA	NA	NA	NA	0	NA
GO0002193 MAML1-RBP-Jkappa- ICN1 complex	NA	NA	NA	NA	0	NA
GO0002199 zona pellucida receptor complex	NA	NA	NA	NA	0	NA
GO0002944 cyclin K-CDK12 complex	NA	NA	NA	NA	0	NA
GO0002945 cyclin K-CDK13 complex	NA	NA	NA	NA	0	NA
GO0002947 tumor necrosis factor receptor superfamily complex	NA	NA	NA	NA	0	NA
GO0005577 fibrinogen complex	NA	NA	NA	NA	0	NA
GO0005579 membrane attack complex	NA	NA	NA	NA	0	NA
GO0005581 collagen trimer	NA	NA	NA	NA	2	NA
GO0005582 collagen type XV trimer	NA	NA	NA	NA	0	NA
GO0005583 fibrillar collagen trimer	NA	NA	NA	NA	0	NA
GO0005584 collagen type I trimer	NA	NA	NA	NA	0	NA
GO0005585 collagen type II trimer	NA	NA	NA	NA	0	NA
GO0005586 collagen type III trimer	NA	NA	NA	NA	0	NA
GO0005587 collagen type IV trimer	NA	NA	NA	NA	0	NA
GO0005588 collagen type V trimer	NA	NA	NA	NA	0	NA
GO0005589 collagen type VI trimer	NA	NA	NA	NA	0	NA
GO0005590 collagen type VII trimer	NA	NA	NA	NA	0	NA
GO0005591 collagen type VIII trimer	NA	NA	NA	NA	0	NA
GO0005592 collagen type XI trimer	NA	NA	NA	NA	0	NA
GO0005593 FACIT collagen trimer	NA	NA	NA	NA	0	NA
GO0005594 collagen type IX trimer	NA	NA	NA	NA	0	NA
GO0005595 collagen type XII trimer	NA	NA	NA	NA	0	NA
GO0005596 collagen type XIV trimer	NA	NA	NA	NA	0	NA
GO0005597 collagen type XVI trimer	NA	NA	NA	NA	0	NA
GO0005598 short-chain collagen trimer	NA	NA	NA	NA	0	NA
GO0005599 collagen type X trimer	NA	NA	NA	NA	0	NA
GO0005600 collagen type XIII trimer	NA	NA	NA	NA	0	NA
GO0005602 complement component C1 complex	NA	NA	NA	NA	0	NA
GO0005604 basement membrane	NA	NA	NA	NA	2	NA
GO0005606 laminin-1 complex	NA	NA	NA	NA	0	NA
GO0005607 laminin-2 complex	NA	NA	NA	NA	0	NA
GO0005608 laminin-3 complex	NA	NA	NA	NA	0	NA
GO0005610 laminin-5 complex	NA	NA	NA	NA	0	NA
GO0005614 interstitial matrix	NA	NA	NA	NA	0	NA
GO0005635 nuclear envelope	NA	NA	NA	NA	6	NA
GO0005637 nuclear inner membrane	NA	NA	NA	NA	1	NA
GO0005638 lamin filament	NA	NA	NA	NA	0	NA
GO0005640 nuclear outer membrane	NA	NA	NA	NA	0	NA
GO0005641 nuclear envelope lumen	NA	NA	NA	NA	0	NA
GO0005642 annulate lamellae	NA	NA	NA	NA	0	NA
GO0005643 nuclear pore	NA	NA	NA	NA	2	NA
GO0005652 nuclear lamina	NA	NA	NA	NA	0	NA
GO0005655 nucleolar ribonuclease P complex	NA	NA	NA	NA	0	NA
GO0005656 nuclear pre-replicative complex	NA	NA	NA	NA	0	NA
GO0005657 replication fork	NA	NA	NA	NA	0	NA
GO0005658 alpha DNA polymeraseprimase complex	NA	NA	NA	NA	0	NA
GO0005662 DNA replication factor A complex	NA	NA	NA	NA	0	NA
GO0005663 DNA replication factor C complex	NA	NA	NA	NA	0	NA
GO0005664 nuclear origin of replication recognition complex	NA	NA	NA	NA	0	NA
GO0005665 RNA polymerase II, core complex	NA	NA	NA	NA	1	NA
GO0005666 RNA polymerase III complex	NA	NA	NA	NA	2	NA
GO0005667 transcription regulator complex	NA	NA	NA	NA	7	NA
GO0005668 RNA polymerase transcription factor SL1 complex	NA	NA	NA	NA	0	NA
GO0005669 transcription factor TFIID complex	NA	NA	NA	NA	0	NA
GO0005672 transcription factor TFIIA complex	NA	NA	NA	NA	0	NA
GO0005673 transcription factor TFIIE complex	NA	NA	NA	NA	0	NA
GO0005674 transcription factor TFIIF complex	NA	NA	NA	NA	0	NA
GO0005675 transcription factor TFIIH holo complex	NA	NA	NA	NA	0	NA
GO0005677 chromatin silencing complex	NA	NA	NA	NA	0	NA
GO0005680 anaphase-promoting complex	NA	NA	NA	NA	0	NA
GO0005681 spliceosomal complex	NA	NA	NA	NA	3	NA
GO0005682 U5 snRNP	NA	NA	NA	NA	1	NA
GO0005683 U7 snRNP	NA	NA	NA	NA	1	NA
GO0005684 U2-type spliceosomal complex	NA	NA	NA	NA	2	NA
GO0005685 U1 snRNP	NA	NA	NA	NA	1	NA
GO0005686 U2 snRNP	NA	NA	NA	NA	2	NA
GO0005687 U4 snRNP	NA	NA	NA	NA	1	NA
GO0005688 U6 snRNP	NA	NA	NA	NA	0	NA
GO0005689 U12-type spliceosomal complex	NA	NA	NA	NA	2	NA
GO0005690 U4atac snRNP	NA	NA	NA	NA	0	NA
GO0005691 U6atac snRNP	NA	NA	NA	NA	0	NA
GO0005692 U11 snRNP	NA	NA	NA	NA	0	NA
GO0005697 telomerase holoenzyme complex	NA	NA	NA	NA	1	NA
GO0005700 polytene chromosome	NA	NA	NA	NA	0	NA
GO0005712 chiasma	NA	NA	NA	NA	0	NA
GO0005713 recombination nodule	NA	NA	NA	NA	0	NA
GO0005715 late recombination nodule	NA	NA	NA	NA	0	NA
GO0005721 pericentric heterochromatin	NA	NA	NA	NA	0	NA
GO0005726 perichromatin fibrils	NA	NA	NA	NA	0	NA
GO0005731 nucleolus organizer region	NA	NA	NA	NA	0	NA
GO0005732 sno(s)RNA-containing ribonucleoprotein complex	NA	NA	NA	NA	0	NA
GO0005736 RNA polymerase I complex	NA	NA	NA	NA	1	NA
GO0005741 mitochondrial outer membrane	NA	NA	NA	NA	8	NA
GO0005742 mitochondrial outer membrane translocase complex	NA	NA	NA	NA	2	NA
GO0005744 TIM23 mitochondrial import inner membrane translocase complex	NA	NA	NA	NA	0	NA
GO0005745 m-AAA complex	NA	NA	NA	NA	0	NA
GO0005746 mitochondrial respirasome	NA	NA	NA	NA	0	NA
GO0005747 mitochondrial respiratory chain complex I	NA	NA	NA	NA	0	NA
GO0005749 mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	NA	NA	NA	NA	0	NA
GO0005750 mitochondrial respiratory chain complex III	NA	NA	NA	NA	0	NA
GO0005751 mitochondrial respiratory chain complex IV	NA	NA	NA	NA	0	NA
GO0005753 mitochondrial proton-transporting ATP synthase complex	NA	NA	NA	NA	0	NA
GO0005754 mitochondrial proton-transporting ATP synthase, catalytic core	NA	NA	NA	NA	0	NA
GO0005757 mitochondrial permeability transition pore complex	NA	NA	NA	NA	0	NA
GO0005758 mitochondrial intermembrane space	NA	NA	NA	NA	1	NA
GO0005759 mitochondrial matrix	NA	NA	NA	NA	6	NA
GO0005760 gamma DNA polymerase complex	NA	NA	NA	NA	0	NA
GO0005761 mitochondrial ribosome	NA	NA	NA	NA	1	NA
GO0005762 mitochondrial large ribosomal subunit	NA	NA	NA	NA	1	NA
GO0005763 mitochondrial small ribosomal subunit	NA	NA	NA	NA	0	NA
GO0005765 lysosomal membrane	NA	NA	NA	NA	6	NA
GO0005766 primary lysosome	NA	NA	NA	NA	6	NA
GO0005767 secondary lysosome	NA	NA	NA	NA	1	NA
GO0005769 early endosome	NA	NA	NA	NA	6	NA
GO0005770 late endosome	NA	NA	NA	NA	2	NA
GO0005771 multivesicular body	NA	NA	NA	NA	0	NA
GO0005774 vacuolar membrane	NA	NA	NA	NA	6	NA
GO0005775 vacuolar lumen	NA	NA	NA	NA	3	NA
GO0005776 autophagosome	NA	NA	NA	NA	1	NA
GO0005777 peroxisome	NA	NA	NA	NA	2	NA
GO0005778 peroxisomal membrane	NA	NA	NA	NA	2	NA
GO0005782 peroxisomal matrix	NA	NA	NA	NA	0	NA
GO0005784 Sec61 translocon complex	NA	NA	NA	NA	0	NA
GO0005785 signal recognition particle receptor complex	NA	NA	NA	NA	0	NA
GO0005786 signal recognition particle, endoplasmic reticulum targeting	NA	NA	NA	NA	0	NA
GO0005787 signal peptidase complex	NA	NA	NA	NA	0	NA
GO0005788 endoplasmic reticulum lumen	NA	NA	NA	NA	7	NA
GO0005790 smooth endoplasmic reticulum	NA	NA	NA	NA	0	NA
GO0005791 rough endoplasmic reticulum	NA	NA	NA	NA	0	NA
GO0005793 endoplasmic reticulum-Golgi intermediate compartment	NA	NA	NA	NA	0	NA
GO0005795 Golgi stack	NA	NA	NA	NA	0	NA
GO0005796 Golgi lumen	NA	NA	NA	NA	2	NA
GO0005797 Golgi medial cisterna	NA	NA	NA	NA	0	NA
GO0005798 Golgi-associated vesicle	NA	NA	NA	NA	4	NA
GO0005801 cis-Golgi network	NA	NA	NA	NA	1	NA
GO0005802 trans-Golgi network	NA	NA	NA	NA	5	NA
